Cruise,Station,Date,Latitude,Longitude,Depth [m],Sample,PO4,N+N,Silicate,NO2,NH4,NO3,Temperature_degC,Salinity,Density,Sigmatheta,Chl_a,O2
   FK160115,13,      2016/02/02,-4.23,-142.2283333,249,6,2.22,32.03,22.84,0.05,0.01,31.98,12.817,34.92,1027.5,26.375,     NaN,24.258
   FK160115,13,      2016/02/02,-4.23,-142.2283333,300,7,1.58,17.49,13,0.06,0.1,17.43,12.406,34.897,1027.8,26.439,     NaN,23.653
   FK160115,13,      2016/02/02,-4.23,-142.2283333,400,8,2.58,35.08,30.28,0.03,0.03,35.05,10.721,34.803,1028.5,26.681,     NaN,17.892
   FK160115,13,      2016/02/02,-4.23,-142.2283333,499,9,2.81,40.46,40.1,0.03,0.06,40.43,8.2729,34.653,1029.2,26.968,     NaN,27.147
   FK160115,13,      2016/02/02,-4.23,-142.2283333,598,10,2.9,41.47,49.01,0.02,0.02,41.45,7.0434,34.595,1029.8,27.102,     NaN,44.452
   FK160115,13,      2016/02/02,-4.23,-142.2283333,799,11,2.88,41.2,63.73,0.02,0.04,41.18,5.5455,34.547,1030.9,27.26,     NaN,68.505
   FK160115,13,      2016/02/02,-4.23,-142.2283333,999,12,2.77,38.75,77.73,0.04,0.07,38.71,4.5611,34.554,1032,27.38,     NaN,86.712
   FK160115,14,      2016/02/04,-10.56333333,-146.3133333,20,1,0.28,0.16,1.32,0.04,0.21,0.12,30.073,35.439,1022.1,22.032,     NaN,188.77
   FK160115,14,      2016/02/04,-10.56333333,-146.3133333,60,2,0.27,0.09,1.14,0.03,0.08,0.06,29.516,35.884,1022.8,22.559,     NaN,194.14
   FK160115,14,      2016/02/04,-10.56333333,-146.3133333,99,3,0.37,0.68,1.32,0.27,0.11,0.4,26.992,36.418,1024.2,23.796,     NaN,185.86
   FK160115,14,      2016/02/04,-10.56333333,-146.3133333,150,4,0.59,4.12,1.33,0.09,0.04,4.03,24.131,36.438,1025.3,24.701,     NaN,161.19
   FK160115,14,      2016/02/04,-10.56333333,-146.3133333,200,5,0.55,3.47,0.96,0.04,0.09,3.43,20.758,35.937,1026.1,25.284,     NaN,161.37
   FK160115,14,      2016/02/04,-10.56333333,-146.3133333,249,6,0.91,9.06,2.62,0.05,0.02,9.01,17.438,35.402,1026.8,25.728,     NaN,154
   FK160115,14,      2016/02/04,-10.56333333,-146.3133333,299,7,1.65,18.94,9.05,0.03,0.03,18.91,13.739,34.946,1027.5,26.209,     NaN,94.843
   FK160115,14,      2016/02/04,-10.56333333,-146.3133333,399,8,2.26,31.23,23.55,0.04,0.02,31.19,9.4122,34.689,1028.6,26.815,     NaN,82.97
   FK160115,14,      2016/02/04,-10.56333333,-146.3133333,500,9,2.47,35.7,34.56,0.04,0.01,35.67,7.4169,34.587,1029.3,27.042,     NaN,90.392
   FK160115,14,      2016/02/04,-10.56333333,-146.3133333,599,10,2.6,37.58,40.8,0.05,0.02,37.54,6.6827,34.551,1029.9,27.116,     NaN,88.375
   FK160115,14,      2016/02/04,-10.56333333,-146.3133333,799,11,2.64,36.99,55.48,0.04,0.02,36.95,5.3694,34.524,1030.9,27.262,     NaN,91.923
   FK160115,14,      2016/02/04,-10.56333333,-146.3133333,1000,12,2.1,23.93,49.43,0.05,0.11,23.88,4.4931,34.531,1032,27.369,     NaN,99.404
